sigungu,shelter_name,road_address,facility_name,capacity,time,x_coord,y_coord,longitude,latitude
종로구,혜명경로당,서울특별시 종로구 혜화로9길 24-9,노인시설,100,09:00~18:00,199848.3424,554277.0742,126.99828289155326,37.588054214020836
중구,광희경로당,서울특별시 중구 퇴계로 303-9 광희동주민센터 4층,복지회관,30,09:00~18:00,200445.6728,551660.3136,127.00504443751635,37.56447725070455
중구,약수노인종합복지관,서울특별시 중구 다산로6길 11,복지회관,150,09:00~18:00,200823.3593,550327.4171,127.00931786275356,37.552467630903806
중구,청구e편한세상경로당,서울특별시 중구 청구로 64 청구 e편한세상 109동,노인시설,40,09:00~18:00,201490.1342,551230.4461,127.016865511206,37.56060306248874
중구,현대아파트경로당,서울특별시 중구 다산로 36길 109 현대아파트 정문 앞,노인시설,40,09:00~18:00,202029.533,551219.5846,127.02297045877097,37.56050417080703
용산구,남영동주민센터,서울특별시 용산구 두텁바위로 25,주민센터,10,09:00~18:00,197775.0463,549589.4755,126.97482269164836,37.54581647088692
용산구,원효로2동주민센터,서울특별시 용산구 효창원로8길 3,주민센터,20,09:00~18:00,195718.572,548317.2243,126.9515592980795,37.534346236982856
용산구,이촌제1동주민센터,서울특별시 용산구 이촌로71길 24,주민센터,10,09:00~18:00,197642.3103,546874.8276,126.97332937865019,37.521357139297585
용산구,한남동주민센터,서울특별시 용산구 대사관로5길 1,주민센터,20,09:00~18:00,200044.9289,548340.5896,127.00050833365096,37.534566692213936
성동구,마장국민체육센터,"서울특별시 성동구 마조로11길 6,(마장동)",기타,30,09:00~18:00,203604.4345,551398.4897,127.04079622814254,37.56211128608724
성동구,성동구민종합체육센터,서울특별시 성동구 왕십리로 89(성수동1가),기타,40,09:00~18:00,203892.3683,549596.7343,127.04404560580028,37.54587634209293
성동구,성동책마루,서울특별시 성동구 고산자로 270(행당동),기타,100,09:00~18:00,203260.8501,551544.4933,127.03690807157764,37.5634280528677
성동구,열린금호교육문화관,서울특별시 성동구 무수막길 69(금호동2가),기타,55,09:00~18:00,201756.141,550353.9877,127.01987410940023,37.552705726581706
성동구,서울숲복합문화체육센터,서울특별시 성동구 성수동1가 685-63,기타,60,09:00~18:00,203663.3805,550012.9819,127.04145648298386,37.549627665185625
광진구,아차산경로당,서울특별시 광진구 자양로47길 9-4,노인시설,31,09:00~18:00,208097.9423,550298.2989,127.0916431097417,37.55217008034075
광진구,광나루역버스정류장,서울특별시 광진구 아차산로 571,기타,10,09:00~18:00,209186.5952,549526.825,127.10395354830123,37.545208917338734
광진구,광진문화예술회관버스정류장,서울특별시 광진구 능동로 90 ,기타,10,09:00~18:00,206267.4495,548763.8841,127.07091463688383,37.53835928665653
광진구,광진구청버스정류장,서울특별시 광진구 자양로 117 ,기타,10,09:00~18:00,207266.6572,548715.2851,127.08221993351128,37.53791407956522
광진구,구의역2번출구버스정류장,서울특별시 광진구 자양로18길 96 ,기타,10,09:00~18:00,207847.4391,548787.6056,127.08879206315163,37.53856092861267
광진구,중곡역버스정류장,서울특별시 광진구 능동로 417,기타,10,09:00~18:00,207422.8065,551768.3201,127.08401758484395,37.5654205977238
광진구,자양사거리버스정류장,서울특별시 광진구 아차산로 355,기타,10,09:00~18:00,207302.288,548650.6065,127.08262244140928,37.537331044368365
